ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
48, D, Allo, 2, 1, Down, 0, Ego, 52, , 4/28/2021 10:38:09 AM, (1 : 1)
48, D, Allo, 2, 1, Down, 0, Ego, 52, , 4/28/2021 10:38:10 AM, (5 : 1)
48, D, Allo, 2, 1, Right, 0, Ego, 52, , 4/28/2021 10:38:11 AM, (5 : 5)
48, D, Allo, 2, 1, Up, 0, Ego, 52, , 4/28/2021 10:38:12 AM, (3 : 5)
48, D, Allo, 2, 1, Left, 0, Ego, 52, , 4/28/2021 10:38:12 AM, (3 : 3)
48, D, Allo, 2, 1, Up, 0, Ego, 52, , 4/28/2021 10:38:13 AM, (1 : 3)
48, D, Allo, 2, 1, Right, 0, Ego, 52, , 4/28/2021 10:38:13 AM, (1 : 7)
48, D, Allo, 2, 1, Down, 0, Ego, 52, , 4/28/2021 10:38:15 AM, (8 : 7)
48, D, Allo, 2, 1, Left, 0, Ego, 52, , 4/28/2021 10:38:16 AM, (8 : 5)
48, D, Allo, 2, 1, Down, 0, Ego, 52, , 4/28/2021 10:38:16 AM, (11 : 5)
48, D, Allo, 2, 1, Right, 0, Ego, 52, , 4/28/2021 10:38:17 AM, (11 : 7)
48, D, Allo, 2, 1, Down, 0, Ego, 52, , 4/28/2021 10:38:17 AM, (13 : 7)
48, D, Allo, 2, 1, Left, 0, Ego, 52, , 4/28/2021 10:38:18 AM, (13 : 3)
48, D, Allo, 2, 1, NULL, 1, Ego, 52, y, 4/28/2021 10:38:19 AM, (13 : 3)
48, D, Allo, 2, 1, Left, 1, Ego, 52, , 4/28/2021 10:38:20 AM, (13 : 1)
48, D, Allo, 2, 1, Right, 2, Ego, 52, , 4/28/2021 10:38:21 AM, (13 : 3)
48, D, Allo, 2, 1, Up, 2, Ego, 52, , 4/28/2021 10:38:21 AM, (11 : 3)
48, D, Allo, 2, 1, Left, 2, Ego, 52, , 4/28/2021 10:38:21 AM, (11 : 1)
48, D, Allo, 2, 1, Up, 2, Ego, 52, , 4/28/2021 10:38:23 AM, (9 : 1)
48, D, Allo, 2, 1, Right, 2, Ego, 0, , 4/28/2021 10:38:23 AM, (9 : 3)
48, D, Allo, 2, 1, Left, 3, Ego, 0, , 4/28/2021 10:38:24 AM, (9 : 1)
48, D, Allo, 2, 1, Down, 4, Ego, 0, , 4/28/2021 10:38:24 AM, (11 : 1)
48, D, Allo, 2, 1, Right, 5, Ego, 0, , 4/28/2021 10:38:25 AM, (11 : 3)
48, D, Allo, 2, 1, Down, 7, Ego, 0, , 4/28/2021 10:38:25 AM, (13 : 3)
48, D, Allo, 2, 1, Right, 8, Ego, 0, , 4/28/2021 10:38:26 AM, (13 : 7)
48, D, Allo, 2, 1, Up, 9, Ego, 8, , 4/28/2021 10:38:27 AM, (11 : 7)
48, D, Allo, 2, 1, Left, 10, Ego, 8, , 4/28/2021 10:38:28 AM, (11 : 5)
48, D, Allo, 2, 1, Up, 11, Ego, 8, , 4/28/2021 10:38:28 AM, (8 : 5)
48, D, Allo, 2, 1, Up, 11, Ego, 8, , 4/28/2021 10:38:29 AM, (7 : 5)
48, D, Allo, 2, 1, Left, 11, Ego, 8, , 4/28/2021 10:38:30 AM, (7 : 1)
48, D, Allo, 2, 1, Up, 12, Ego, 8, , 4/28/2021 10:38:30 AM, (5 : 1)
48, D, Allo, 2, 1, Up, 13, Ego, 8, , 4/28/2021 10:38:31 AM, (1 : 1)
48, D, Allo, 2, 1, Right, 14, Ego, 8, , 4/28/2021 10:38:32 AM, (1 : 3)
48, D, Allo, 2, 1, Left, 16, Ego, 8, , 4/28/2021 10:38:32 AM, (1 : 1)
48, D, Allo, 2, 1, Down, 18, Ego, 8, , 4/28/2021 10:38:33 AM, (5 : 1)
48, D, Allo, 2, 1, Down, 19, Ego, 8, , 4/28/2021 10:38:34 AM, (7 : 1)
48, D, Allo, 2, 1, Right, 20, Ego, 8, , 4/28/2021 10:38:35 AM, (7 : 5)
48, D, Allo, 2, 1, Down, 22, Ego, 8, , 4/28/2021 10:38:35 AM, (8 : 5)
48, D, Allo, 2, 1, Right, 23, Ego, 8, , 4/28/2021 10:38:36 AM, (8 : 7)
48, D, Allo, 2, 1, Down, 23, Ego, 8, , 4/28/2021 10:38:36 AM, (9 : 7)
48, D, Allo, 2, 1, Right, 23, Ego, 8, , 4/28/2021 10:38:37 AM, (9 : 9)
48, D, Allo, 2, 1, NULL, 23, Ego, 8, n, 4/28/2021 10:38:37 AM, (5 : 9)
48, D, Allo, 2, 1, Up, 23, Ego, 8, , 4/28/2021 10:38:38 AM, (3 : 9)
48, D, Allo, 2, 1, Right, 23, Ego, 8, , 4/28/2021 10:38:39 AM, (3 : 11)
48, D, Allo, 2, 1, Down, 23, Ego, 8, , 4/28/2021 10:38:40 AM, (11 : 11)
48, D, Allo, 2, 1, Left, 23, Ego, 0, , 4/28/2021 10:38:41 AM, (11 : 9)
48, D, Allo, 2, 1, Left, 25, Ego, 0, , 4/28/2021 10:38:42 AM, (11 : 7)
48, D, Allo, 2, 1, Down, 27, Ego, 0, , 4/28/2021 10:38:42 AM, (13 : 7)
48, D, Allo, 2, 1, Up, 30, Ego, 0, , 4/28/2021 10:38:43 AM, (11 : 7)
48, D, Allo, 2, 1, Right, 31, Ego, 0, , 4/28/2021 10:38:43 AM, (11 : 9)
48, T, Allo, 2, 1, Up, 0, Ego, 0, , 4/28/2021 10:38:46 AM, (8 : 7)
48, T, Allo, 2, 1, Down, 0, Ego, 0, , 4/28/2021 10:38:47 AM, (9 : 7)
48, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/28/2021 10:38:47 AM, (9 : 9)
48, T, Allo, 2, 1, Up, 0, Ego, 0, , 4/28/2021 10:38:49 AM, (3 : 9)
48, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/28/2021 10:38:49 AM, (3 : 11)
48, T, Allo, 2, 1, Down, 0, Ego, 0, , 4/28/2021 10:38:51 AM, (11 : 11)
48, T, Allo, 2, 1, Left, 0, Ego, 0, , 4/28/2021 10:38:51 AM, (11 : 9)
48, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/28/2021 10:38:54 AM, (9 : 9)
48, T, Allo, 2, 2, Up, 0, Ego, 0, , 4/28/2021 10:38:56 AM, (3 : 9)
48, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/28/2021 10:38:56 AM, (3 : 11)
48, T, Allo, 2, 2, Down, 0, Ego, 0, , 4/28/2021 10:38:58 AM, (11 : 11)
48, T, Allo, 2, 2, Left, 0, Ego, 0, , 4/28/2021 10:38:58 AM, (11 : 9)
48, D, Allo, 5, 1, Down, 0, Ego, 11, , 4/28/2021 10:39:00 AM, (1 : 1)
48, D, Allo, 5, 1, Down, 0, Ego, 11, , 4/28/2021 10:39:02 AM, (5 : 1)
48, D, Allo, 5, 1, Right, 0, Ego, 11, , 4/28/2021 10:39:02 AM, (5 : 3)
48, D, Allo, 5, 1, Down, 0, Ego, 11, , 4/28/2021 10:39:03 AM, (7 : 3)
48, D, Allo, 5, 1, Right, 0, Ego, 11, , 4/28/2021 10:39:03 AM, (7 : 5)
48, D, Allo, 5, 1, Up, 0, Ego, 11, , 4/28/2021 10:39:04 AM, (5 : 5)
48, D, Allo, 5, 1, Right, 0, Ego, 11, , 4/28/2021 10:39:04 AM, (5 : 7)
48, D, Allo, 5, 1, Down, 0, Ego, 11, , 4/28/2021 10:39:05 AM, (11 : 7)
48, D, Allo, 5, 1, Left, 0, Ego, 11, , 4/28/2021 10:39:06 AM, (11 : 5)
48, D, Allo, 5, 1, Down, 0, Ego, 11, , 4/28/2021 10:39:06 AM, (13 : 5)
48, D, Allo, 5, 1, Right, 0, Ego, 11, , 4/28/2021 10:39:07 AM, (13 : 10)
48, D, Allo, 5, 1, Left, 1, Ego, 11, , 4/28/2021 10:39:08 AM, (13 : 5)
48, D, Allo, 5, 1, NULL, 1, Ego, 11, n, 4/28/2021 10:39:10 AM, (13 : 5)
48, D, Allo, 5, 1, Left, 1, Ego, 11, , 4/28/2021 10:39:11 AM, (13 : 3)
